"","EV","ERV","FWER","FDR","Power"
"carve_gam30_B=20select=0.5nActive=10",11.0105,4.614,0,0.704725596026624,0.057
"split_gam30_B=20select=0.5nActive=10",11.0105,4.614,0,0.704725596026624,0
"carve_gam5_B=20select=0.75nActive=5",11.9075,3.4815,0.03,0.773773740669659,0.186
"split_gam5_B=20select=0.75nActive=5",11.9075,3.4815,0.12,0.773773740669659,0.076
"carve_gam30_B=20select=0.75nActive=5",11.9075,3.4815,0,0.773773740669659,0.122
"split_gam30_B=20select=0.75nActive=5",11.9075,3.4815,0,0.773773740669659,0
"carve_gam5_B=20select=0.75nActive=2",13.4975,1.9985,0.01,0.871015662539661,0.955
"split_gam5_B=20select=0.75nActive=2",13.4975,1.9985,0,0.871015662539661,0
"carve_gam30_B=20select=0.75nActive=2",13.4975,1.9985,0.01,0.871015662539661,0.96
"split_gam30_B=20select=0.75nActive=2",13.4975,1.9985,0,0.871015662539661,0
"carve_gam5_B=20select=0.75nActive=50",7.442,7.9345,0.03,0.483966245616293,4e-04
"split_gam5_B=20select=0.75nActive=50",7.442,7.9345,0,0.483966245616293,0
"carve_gam30_B=20select=0.75nActive=50",7.442,7.9345,0,0.483966245616293,2e-04
"split_gam30_B=20select=0.75nActive=50",7.442,7.9345,0,0.483966245616293,0
"carve_gam5_B=20select=0.75nActive=10",9.13,6.372,0.02,0.588994715328281,0.087
"split_gam5_B=20select=0.75nActive=10",9.13,6.372,0.06,0.588994715328281,0.036
"carve_gam30_B=20select=0.75nActive=10",9.13,6.372,0,0.588994715328281,0.052
"split_gam30_B=20select=0.75nActive=10",9.13,6.372,0,0.588994715328281,0
"carve_gam5_B=20select=0.9nActive=5",11.324,4.0365,0.02,0.737187819546649,0.128
"split_gam5_B=20select=0.9nActive=5",11.324,4.0365,0,0.737187819546649,0
"carve_gam30_B=20select=0.9nActive=5",11.324,4.0365,0,0.737187819546649,0.072
"split_gam30_B=20select=0.9nActive=5",11.324,4.0365,0,0.737187819546649,0
"carve_gam5_B=20select=0.9nActive=2",13.417,2,0.01,0.870252661498744,0.885
"split_gam5_B=20select=0.9nActive=2",13.417,2,0,0.870252661498744,0
"carve_gam30_B=20select=0.9nActive=2",13.417,2,0,0.870252661498744,0.92
"split_gam30_B=20select=0.9nActive=2",13.417,2,0,0.870252661498744,0
"carve_gam5_B=20select=0.9nActive=50",6.9525,8.4555,0,0.451300177788077,0
"split_gam5_B=20select=0.9nActive=50",6.9525,8.4555,0,0.451300177788077,0
"carve_gam30_B=20select=0.9nActive=50",6.9525,8.4555,0.01,0.451300177788077,0
"split_gam30_B=20select=0.9nActive=50",6.9525,8.4555,0,0.451300177788077,0
"carve_gam5_B=20select=0.9nActive=10",8.209,7.2795,0,0.529910481812718,0.045
"split_gam5_B=20select=0.9nActive=10",8.209,7.2795,0,0.529910481812718,0
"carve_gam30_B=20select=0.9nActive=10",8.209,7.2795,0,0.529910481812718,0.031
"split_gam30_B=20select=0.9nActive=10",8.209,7.2795,0,0.529910481812718,0
"carve_gam5_B=20select=0.95nActive=5",11.257,4.1035,0,0.732934068264741,0.078
"split_gam5_B=20select=0.95nActive=5",11.257,4.1035,0,0.732934068264741,0
"carve_gam30_B=20select=0.95nActive=5",11.257,4.1035,0,0.732934068264741,0.036
"split_gam30_B=20select=0.95nActive=5",11.257,4.1035,0,0.732934068264741,0
"carve_gam5_B=20select=0.95nActive=2",13.338,2,0,0.869580230252023,0.94
"split_gam5_B=20select=0.95nActive=2",13.338,2,0,0.869580230252023,0
"carve_gam30_B=20select=0.95nActive=2",13.338,2,0,0.869580230252023,0.84
"split_gam30_B=20select=0.95nActive=2",13.338,2,0,0.869580230252023,0
"carve_gam5_B=20select=0.95nActive=50",6.7695,8.5865,0.01,0.440908386681523,4e-04
"split_gam5_B=20select=0.95nActive=50",6.7695,8.5865,0,0.440908386681523,0
"carve_gam30_B=20select=0.95nActive=50",6.7695,8.5865,0.02,0.440908386681523,0
"split_gam30_B=20select=0.95nActive=50",6.7695,8.5865,0,0.440908386681523,0
"carve_gam5_B=20select=0.95nActive=10",7.7775,7.6745,0,0.503275273729084,0.041
"split_gam5_B=20select=0.95nActive=10",7.7775,7.6745,0,0.503275273729084,0
"carve_gam30_B=20select=0.95nActive=10",7.7775,7.6745,0,0.503275273729084,0.027
"split_gam30_B=20select=0.95nActive=10",7.7775,7.6745,0,0.503275273729084,0
"carve_gam5_B=20select=0.99nActive=5",11.03,4.3055,0,0.719247151310684,0.022
"split_gam5_B=20select=0.99nActive=5",11.03,4.3055,0,0.719247151310684,0
"carve_gam30_B=20select=0.99nActive=5",11.03,4.3055,0,0.719247151310684,0.022
"split_gam30_B=20select=0.99nActive=5",11.03,4.3055,0,0.719247151310684,0
"carve_gam5_B=20select=0.99nActive=2",13.3545,2,0,0.869677228459297,0.52
"split_gam5_B=20select=0.99nActive=2",13.3545,2,0,0.869677228459297,0
"carve_gam30_B=20select=0.99nActive=2",13.3545,2,0,0.869677228459297,0.42
"split_gam30_B=20select=0.99nActive=2",13.3545,2,0,0.869677228459297,0
