"","EV","ERV","FWER","FDR","Power"
"split_gam5_B=10select=0.9n=50p=1000",5.662,1.876,0,0.751152870202425,0
"carve_gam30_B=10select=0.9n=50p=1000",5.662,1.876,0,0.751152870202425,0
"split_gam30_B=10select=0.9n=50p=1000",5.662,1.876,0,0.751152870202425,0
"carve_gam5_B=10select=0.95n=100p=200",11.278,4.106,0.04,0.733188446695669,0.108
"split_gam5_B=10select=0.95n=100p=200",11.278,4.106,0,0.733188446695669,0
"carve_gam30_B=10select=0.95n=100p=200",11.278,4.106,0,0.733188446695669,0.044
"split_gam30_B=10select=0.95n=100p=200",11.278,4.106,0,0.733188446695669,0
"carve_gam5_B=10select=0.95n=50p=200",4.418,3.276,0,0.574066060256393,0.056
"split_gam5_B=10select=0.95n=50p=200",4.418,3.276,0,0.574066060256393,0
"carve_gam30_B=10select=0.95n=50p=200",4.418,3.276,0,0.574066060256393,0.046
"split_gam30_B=10select=0.95n=50p=200",4.418,3.276,0,0.574066060256393,0
"carve_gam5_B=10select=0.95n=100p=133",10.536,4.999,0.01,0.67812270251635,0.472
"split_gam5_B=10select=0.95n=100p=133",10.536,4.999,0,0.67812270251635,0
"carve_gam30_B=10select=0.95n=100p=133",10.536,4.999,0,0.67812270251635,0.398
"split_gam30_B=10select=0.95n=100p=133",10.536,4.999,0,0.67812270251635,0
"carve_gam5_B=10select=0.95n=200p=200",10.355,5,0.02,0.674235851110131,0.988
"split_gam5_B=10select=0.95n=200p=200",10.355,5,0,0.674235851110131,0
"carve_gam30_B=10select=0.95n=200p=200",10.355,5,0,0.674235851110131,0.982
"split_gam30_B=10select=0.95n=200p=200",10.355,5,0,0.674235851110131,0
"carve_gam5_B=10select=0.95n=600p=200",26.692,5,0.01,0.842189481523618,0.976
"split_gam5_B=10select=0.95n=600p=200",26.692,5,0,0.842189481523618,0
"carve_gam30_B=10select=0.95n=600p=200",26.692,5,0,0.842189481523618,0.96
"split_gam30_B=10select=0.95n=600p=200",26.692,5,0,0.842189481523618,0
"carve_gam5_B=10select=0.95n=50p=1000",5.547,1.936,0.01,0.742073609600569,0.014
"split_gam5_B=10select=0.95n=50p=1000",5.547,1.936,0,0.742073609600569,0
"carve_gam30_B=10select=0.95n=50p=1000",5.547,1.936,0.01,0.742073609600569,0.002
"split_gam30_B=10select=0.95n=50p=1000",5.547,1.936,0,0.742073609600569,0
"carve_gam5_B=10select=0.99n=100p=200",11.019,4.318,0,0.718350216485984,0.042
"split_gam5_B=10select=0.99n=100p=200",11.019,4.318,0,0.718350216485984,0
"carve_gam30_B=10select=0.99n=100p=200",11.019,4.318,0,0.718350216485984,0.026
"split_gam30_B=10select=0.99n=100p=200",11.019,4.318,0,0.718350216485984,0
